Delay,Bandwidth,Concurrency,Average Latency (s),Requests/sec
100,1,200,0.3265,596.0308
100,1,400,0.6483,594.1806
100,1,600,0.9676,337.7327
100,1,800,1.2882,350.1181
100,1,1000,1.6339,354.7410
100,2,200,0.1641,1210.1909
100,2,400,0.3279,1184.0236
100,2,600,0.4914,1157.1680
100,2,800,0.6499,1175.0706
100,2,1000,0.8089,1165.9242
100,3,200,0.1096,1815.3493
100,3,400,0.2184,1814.2957
100,3,600,0.3268,1805.2080
100,3,800,0.4364,1744.5280
100,3,1000,0.5444,1750.6077
100,4,200,0.0822,2423.5275
100,4,400,0.1643,2415.4622
100,4,600,0.2457,2415.0401
100,4,800,0.3273,2383.2771
100,4,1000,0.4096,2341.4863
100,5,200,0.0658,3030.4242
100,5,400,0.1313,3026.6847
100,5,600,0.1972,3013.4368
100,5,800,0.2616,3021.8849
100,5,1000,0.3282,2919.6650
100,6,200,0.0548,3636.6210
100,6,400,0.1096,3627.6059
100,6,600,0.1643,3624.4285
100,6,800,0.2185,3626.2784
100,6,1000,0.2730,3614.3223
100,7,200,0.0470,4243.7962
100,7,400,0.0939,4239.8148
100,7,600,0.1407,4236.9601
100,7,800,0.1877,4225.0039
100,7,1000,0.2342,4224.7857
100,8,200,0.0411,4848.6111
100,8,400,0.0823,4842.3621
100,8,600,0.1233,4837.8310
100,8,800,0.1648,4816.5893
100,8,1000,0.2052,4831.8879
100,9,200,0.0366,5454.2255
100,9,400,0.0732,5448.7035
100,9,600,0.1096,5450.3131
100,9,800,0.1462,5438.2567
100,9,1000,0.1828,5426.0175
100,10,200,0.0330,6055.5091
100,10,400,0.0659,6042.0463
100,10,600,0.0987,6050.9058
100,10,800,0.1315,6043.3035
100,10,1000,0.1642,6039.7829
200,1,200,0.3267,604.3322
200,1,400,0.6486,580.3294
200,1,600,0.9845,569.6394
200,1,800,1.2978,580.9896
200,1,1000,1.6437,345.4709
200,2,200,0.1639,1211.9711
200,2,400,0.3284,1203.3231
200,2,600,0.4902,1201.1756
200,2,800,0.6527,1144.9472
200,2,1000,0.8182,1152.4592
200,3,200,0.1096,1814.9857
200,3,400,0.2180,1815.9987
200,3,600,0.3269,1808.6764
200,3,800,0.4356,1802.8463
200,3,1000,0.5422,1803.9399
200,4,200,0.0822,2422.5286
200,4,400,0.1640,2422.1348
200,4,600,0.2457,2414.8216
200,4,800,0.3271,2410.3508
200,4,1000,0.4093,2402.0774
200,5,200,0.0658,3027.1842
200,5,400,0.1315,3024.6480
200,5,600,0.1967,3020.0042
200,5,800,0.2621,3015.1047
200,5,1000,0.3267,3016.8590
200,6,200,0.0548,3636.6432
200,6,400,0.1095,3631.6186
200,6,600,0.1642,3623.6484
200,6,800,0.2188,3619.0341
200,6,1000,0.2741,3605.3577
200,7,200,0.0470,4242.4202
200,7,400,0.0940,4235.9116
200,7,600,0.1407,4236.1656
200,7,800,0.1876,4230.0929
200,7,1000,0.2340,4231.9948
200,8,200,0.0411,4850.4994
200,8,400,0.0822,4845.0936
200,8,600,0.1233,4839.7335
200,8,800,0.1643,4832.5093
200,8,1000,0.2048,4834.7551
200,9,200,0.0366,5454.9844
200,9,400,0.0731,5447.0940
200,9,600,0.1098,5433.9359
200,9,800,0.1462,5438.0083
200,9,1000,0.1826,5432.3848
200,10,200,0.0329,6059.7723
200,10,400,0.0658,6052.5234
200,10,600,0.0988,6046.9542
200,10,800,0.1315,6043.1885
200,10,1000,0.1648,6021.3778
300,1,200,0.3264,604.7014
300,1,400,0.6487,600.5095
300,1,600,0.9804,558.5175
300,1,800,1.3133,540.9106
300,1,1000,1.6403,532.9157
300,2,200,0.1640,1210.9653
300,2,400,0.3278,1203.0664
300,2,600,0.4893,1202.3602
300,2,800,0.6488,1198.3859
300,2,1000,0.8212,1178.7694
300,3,200,0.1095,1818.4424
300,3,400,0.2185,1813.6672
300,3,600,0.3272,1810.1826
300,3,800,0.4364,1800.5710
300,3,1000,0.5426,1804.3092
300,4,200,0.0822,2424.4170
300,4,400,0.1641,2419.6953
300,4,600,0.2464,2410.6906
300,4,800,0.3265,2415.9070
300,4,1000,0.4068,2411.9692
300,5,200,0.0658,3028.8106
300,5,400,0.1314,3026.1433
300,5,600,0.1969,3022.0190
300,5,800,0.2626,3013.3261
300,5,1000,0.3268,3016.2405
300,6,200,0.0548,3637.0951
300,6,400,0.1097,3625.2686
300,6,600,0.1645,3621.5006
300,6,800,0.2186,3625.0720
300,6,1000,0.2729,3620.7047
300,7,200,0.0470,4242.8598
300,7,400,0.0941,4232.1210
300,7,600,0.1409,4230.1813
300,7,800,0.1879,4222.9180
300,7,1000,0.2346,4219.7174
300,8,200,0.0411,4849.9884
300,8,400,0.0823,4843.1981
300,8,600,0.1233,4837.8733
300,8,800,0.1647,4825.0042
300,8,1000,0.2053,4827.2155
300,9,200,0.0366,5455.5739
300,9,400,0.0733,5436.9733
300,9,600,0.1096,5443.6534
300,9,800,0.1462,5432.9460
300,9,1000,0.1823,5439.8274
300,10,200,0.0329,6056.1889
300,10,400,0.0658,6053.7607
300,10,600,0.0988,6048.5008
300,10,800,0.1317,6038.0996
300,10,1000,0.1644,6035.4564
400,1,200,0.3273,603.4498
400,1,400,0.6525,598.2648
400,1,600,0.9710,595.1143
400,1,800,1.3267,531.0410
400,1,1000,1.6600,501.4328
400,2,200,0.1640,1210.5197
400,2,400,0.3274,1205.7852
400,2,600,0.4910,1197.1311
400,2,800,0.6486,1201.4989
400,2,1000,0.8111,1192.6860
400,3,200,0.1094,1818.6944
400,3,400,0.2190,1809.3362
400,3,600,0.3270,1810.6930
400,3,800,0.4376,1797.0251
400,3,1000,0.5469,1787.0012
400,4,200,0.0821,2424.7367
400,4,400,0.1641,2419.1370
400,4,600,0.2458,2413.7930
400,4,800,0.3286,2400.8730
400,4,1000,0.4108,2393.5049
400,5,200,0.0658,3030.0436
400,5,400,0.1312,3030.8172
400,5,600,0.1967,3023.1236
400,5,800,0.2621,3018.5134
400,5,1000,0.3286,3003.3730
400,6,200,0.0548,3637.8737
400,6,400,0.1097,3627.3279
400,6,600,0.1642,3627.7542
400,6,800,0.2186,3627.6017
400,6,1000,0.2726,3624.3108
400,7,200,0.0470,4244.7772
400,7,400,0.0940,4236.9146
400,7,600,0.1408,4235.8564
400,7,800,0.1878,4225.9519
400,7,1000,0.2348,4216.3335
400,8,200,0.0411,4849.7848
400,8,400,0.0822,4844.0947
400,8,600,0.1233,4837.8876
400,8,800,0.1644,4829.4950
400,8,1000,0.2051,4830.3212
400,9,200,0.0366,5456.3833
400,9,400,0.0731,5447.7903
400,9,600,0.1097,5440.3059
400,9,800,0.1460,5444.5690
400,9,1000,0.1824,5435.9617
400,10,200,0.0329,6056.9767
400,10,400,0.0659,6046.0698
400,10,600,0.0989,6041.1817
400,10,800,0.1316,6041.2564
400,10,1000,0.1641,6048.6029
500,1,200,0.3271,604.0017
500,1,400,0.6519,599.3260
500,1,600,0.9949,581.4008
500,1,800,1.3238,570.4329
500,1,1000,1.6578,500.5529
500,2,200,0.1642,1210.4213
500,2,400,0.3277,1205.0497
500,2,600,0.4896,1201.0600
500,2,800,0.6511,1197.4664
500,2,1000,0.8222,1178.3376
500,3,200,0.1095,1815.8553
500,3,400,0.2183,1814.7835
500,3,600,0.3265,1811.2225
500,3,800,0.4351,1807.9750
500,3,1000,0.5419,1804.2499
500,4,200,0.0822,2422.3063
500,4,400,0.1641,2420.1271
500,4,600,0.2456,2417.1955
500,4,800,0.3269,2416.4533
500,4,1000,0.4072,2413.6667
500,5,200,0.0658,3029.7810
500,5,400,0.1314,3026.2859
500,5,600,0.1968,3023.4631
500,5,800,0.2624,3014.3986
500,5,1000,0.3270,3015.1665
500,6,200,0.0548,3636.5132
500,6,400,0.1097,3630.2705
500,6,600,0.1648,3616.7760
500,6,800,0.2186,3622.4378
500,6,1000,0.2729,3621.7579
500,7,200,0.0470,4243.4996
500,7,400,0.0938,4243.8792
500,7,600,0.1408,4231.7987
500,7,800,0.1876,4228.5813
500,7,1000,0.2351,4210.8703
500,8,200,0.0411,4849.3265
500,8,400,0.0823,4840.0841
500,8,600,0.1233,4837.7267
500,8,800,0.1644,4831.1502
500,8,1000,0.2053,4827.7518
500,9,200,0.0366,5459.0009
500,9,400,0.0732,5440.6733
500,9,600,0.1096,5438.3222
500,9,800,0.1459,5446.6190
500,9,1000,0.1827,5427.1759
500,10,200,0.0330,6054.4808
500,10,400,0.0659,6046.8339
500,10,600,0.0988,6040.9459
500,10,800,0.1319,6031.7501
500,10,1000,0.1646,6032.0579
